age,job,marital,education,default,balance,housing,contact,duration,campaign,pdays,previous,poutcome,signed up
43,self-employed,married,tertiary,no,64,no,unknown,230,2,-1,0,unknown,0
74,retired,married,primary,no,5539,no,cellular,253,2,181,1,success,0
33,management,married,tertiary,no,373,no,cellular,384,1,-1,0,unknown,0
37,blue-collar,married,secondary,no,934,no,unknown,258,2,-1,0,unknown,0
30,technician,married,tertiary,no,1,no,cellular,69,21,-1,0,unknown,0
46,blue-collar,married,primary,no,0,no,cellular,178,4,-1,0,unknown,0
48,management,divorced,secondary,no,635,no,unknown,236,2,-1,0,unknown,0
38,management,married,tertiary,no,630,no,cellular,362,1,388,3,other,1
35,management,married,tertiary,no,925,no,cellular,200,4,-1,0,unknown,1
29,management,single,tertiary,no,265,no,cellular,130,2,94,1,success,1
36,services,divorced,secondary,no,127,no,cellular,172,3,-1,0,unknown,0
35,blue-collar,single,primary,no,3798,no,unknown,19,1,-1,0,unknown,0
54,management,married,unknown,no,24,no,cellular,12,10,-1,0,unknown,0
51,management,married,tertiary,no,469,no,cellular,491,1,182,3,success,1
41,technician,divorced,secondary,no,195,no,cellular,260,1,-1,0,unknown,0
26,entrepreneur,single,tertiary,no,725,no,cellular,1916,2,189,29,other,1
49,technician,divorced,tertiary,no,0,no,cellular,68,2,-1,0,unknown,0
40,blue-collar,divorced,secondary,no,181,no,unknown,89,6,-1,0,unknown,0
51,services,married,secondary,no,276,no,cellular,217,2,-1,0,unknown,0
59,retired,married,secondary,no,242,no,cellular,17,10,-1,0,unknown,0
60,housemaid,married,primary,no,211,no,cellular,480,2,189,1,failure,0
46,services,married,tertiary,no,474,no,unknown,445,2,-1,0,unknown,0
46,blue-collar,married,primary,no,642,no,unknown,110,4,-1,0,unknown,0
49,blue-collar,married,primary,no,923,no,unknown,471,2,-1,0,unknown,0
31,student,single,unknown,no,643,no,cellular,82,4,-1,0,unknown,0
33,services,single,secondary,no,189,no,unknown,27,10,-1,0,unknown,0
42,technician,divorced,tertiary,no,765,no,cellular,78,8,-1,0,unknown,0
40,technician,divorced,secondary,no,0,no,cellular,299,3,-1,0,unknown,0
30,management,single,tertiary,no,-672,no,cellular,130,2,-1,0,unknown,0
40,technician,single,secondary,no,2244,no,cellular,58,2,-1,0,unknown,0
57,entrepreneur,married,secondary,no,9902,no,cellular,88,3,-1,0,unknown,0
57,unknown,single,secondary,no,316,no,unknown,8,7,-1,0,unknown,0
48,technician,married,secondary,no,427,no,unknown,201,1,-1,0,unknown,0
59,retired,married,tertiary,no,941,no,cellular,231,1,210,1,failure,0
31,admin.,divorced,secondary,no,2980,no,cellular,930,4,292,2,other,0
32,management,single,tertiary,no,26,no,cellular,55,6,-1,0,unknown,0
56,admin.,married,secondary,no,1694,no,cellular,793,10,-1,0,unknown,1
55,management,married,tertiary,no,913,no,unknown,462,5,-1,0,unknown,0
35,unemployed,married,secondary,no,978,no,cellular,1370,3,209,3,success,1
60,retired,married,primary,no,3,no,unknown,227,1,-1,0,unknown,0
52,admin.,married,primary,no,813,no,cellular,113,2,-1,0,unknown,0
29,technician,single,secondary,no,6,no,cellular,315,1,-1,0,unknown,1
49,technician,married,primary,no,1569,no,cellular,470,1,196,1,other,0
57,management,divorced,unknown,no,2986,no,cellular,222,2,231,1,failure,1
53,technician,married,secondary,no,1738,no,cellular,168,2,-1,0,unknown,0
27,blue-collar,single,tertiary,no,644,no,cellular,657,1,182,1,success,1
53,admin.,divorced,unknown,no,257,no,cellular,1310,2,-1,0,unknown,1
60,retired,married,secondary,no,8332,no,cellular,279,1,194,7,other,1
