Q20,Q17,Q22,Q1,Q2,Q3,Q4,Q13,Q15,Q16,Q18,Q19,Q21
What best aids you in your learning?,What do you hope to gain from this course?,What excites you about Data Science?,"On a scale of 1 to 10 rank your comfort with the R programming language, generally",On a scale from 1 to 10 rank your comfort with markdown or Rmarkdown generally.,On scale from 1 to 10 rank your comfort with using tidyverse packages,On a scale from 1 to 10 rank your experience using machine learning models.,What is your major?,What is your primary programming language?,Do you want to work as a Data Scientist or a related field?,What concerns or worries do you have when thinking about the course content?,What about the course gets you the most excited?,Pizza should clearly...
A combination of the above,"A better knowledge of data science in general, as well as better skills in programming",Big data!! And the increase of data in general in the world- the evolving forms of data as well,5,1,3,1,Statistics,Python,Maybe,Getting behind in learning new programming skills,Learning new programming skills!,Not include pinneapple
"Video Overviews,Lab Assignments",,,7,8,5,10,Computer Science,Python,Maybe,,,Not include pinneapple
A combination of the above,A better understanding of data science,How to take a large amount of information and organizing it so it looks neat,4,1,3,3,Foreign Affairs,Python,Maybe,I’m not very good at it so I’m worried I’ll struggle in the class,Being better at data science,Is obviously better with pinneapple
Readings,Deeper understanding of data science and possible applications,How versatile its application can be ,4,3,3,2,Biomedical Engineering,Python,Maybe,Not having enough experience in R,Learning in general about data usage and presentation,Is obviously better with pinneapple
Lab Assignments,"I want to learn the essentials for Data Science, as I am trying to internships in Data Science positions. I also want to learn how to write code more efficiently, as my programs usually take longer to run than they probably should. ","Data in general is very interesting to me, and I think the world is becoming rapidly data oriented and I want to be on the forefront of this change. ",6,5,5,2,BSCS,R,Yes,"I have never taken a proper stats course, the closest being STAT 1601, and thus I am lacking in a lot of the terminology used in the field. ",The idea that I will be able to use the content of the course in my own personal projects. ,I have no opinion on this time honored debate
Video Overviews,More practical data science experience,Manipulating and analyzing data to predict future outcomes,3,1,1,1,Computer Science,Python,Yes,Difficulty of new material,Data science,Is obviously better with pinneapple
A combination of the above,I hope to gain more experience in both understanding and implementing data science. I also want to use what I learn to do projects and build meaningful data.,I think data science is so interesting because it is a quantitative way to approach real-life topics.,6,8,5,2,Computer Science,Python,Maybe,I am most worried about keeping up with the weekly labs.,I am really interested in the ethical reflection part of the course.,Is obviously better with pinneapple
"Video Overviews,Lab Assignments",being comfortable with the conclusions I draw and the steps taken to get there ,different way you can manipulate data and conclusions that can be drawn ,5,4,4,3,Systems Engineering ,Python,Maybe,n/a,exploring data and learning to draw conclusions ,Not include pinneapple
A combination of the above,Solid understanding of Data Science and a more detailed overview of application/uses,"Data is so widely accessible, yet so often misinterpreted! Being able to have a grasp of Data Science I feel is really helpful to understanding global issues, too",5,5,5,2,Global Studies (Middle East/South Asia) and Italian Studies,R,Maybe,"Time constraints of assignments to be completed/turned in by the end of class, like the labs, since coding doesn't come super naturally to me and I might work at a slower pace",Improving my knowledge of data science,Not include pinneapple
