NAME,TEAM,SALARY(M),GP,MPG,PPG,FG_PC,3P_PC,FT_PC,RPG,APG,STPG,BLKPG,POSITION
Ramon Sessions,Charlotte Bobcats,5,83,26.7,12.3,0.43,0.28,0.81,2.4,4.1,0.6,0.1,PG
Ben McLemore,Sacramento Kings,2.9,82,26.7,8.8,0.38,0.32,0.8,2.9,1,0.6,0.2,SG
Brandon Bass,Boston Celtics,6.5,82,27.6,11.1,0.49,0.33,0.86,5.7,1.1,0.4,0.9,PF
Channing Frye,Phoenix Suns,6.4,82,28.2,11.1,0.43,0.37,0.82,5.1,1.2,0.7,0.8,PF
Cody Zeller,Charlotte Bobcats,3.9,82,17.3,6,0.43,0,0.73,4.3,1.1,0.5,0.5,PF
Damian Lillard,Portland Trail Blazers,3.2,82,35.8,20.7,0.42,0.39,0.87,3.5,5.6,0.8,0.3,PG
DeAndre Jordan,Los Angeles Clippers,11,82,35,10.4,0.68,0,0.43,13.6,0.9,1,2.5,C
Draymond Green,Golden State Warriors,0.9,82,21.9,6.2,0.41,0.33,0.67,5,1.9,1.2,0.9,SF
Gerald Green,Phoenix Suns,3.5,82,28.4,15.8,0.45,0.4,0.85,3.4,1.5,0.9,0.5,SG
Greg Monroe,Detroit Pistons,4.1,82,32.8,15.2,0.5,0,0.66,9.3,2.1,1.1,0.6,PF
Jason Thompson,Sacramento Kings,5.6,82,24.5,7.1,0.51,0,0.58,6.4,0.6,0.4,0.7,PF
Jeff Green,Boston Celtics,8.7,82,34.2,16.9,0.41,0.34,0.8,4.6,1.7,0.7,0.6,SF
John Wall,Washington Wizards,7.5,82,36.3,19.3,0.43,0.35,0.81,4.1,8.8,1.8,0.5,PG
Kyle Singler,Detroit Pistons,1,82,28.5,9.6,0.45,0.38,0.83,3.7,0.9,0.7,0.5,SF
Luis Scola,Indiana Pacers,4.5,82,17.1,7.6,0.47,0.14,0.73,4.8,1,0.3,0.2,PF
Marcus Morris,Phoenix Suns,2,82,22,9.7,0.44,0.38,0.76,3.9,1.1,0.9,0.2,PF
Mike Dunleavy,Chicago Bulls,3.2,82,31.5,11.3,0.43,0.38,0.85,4.2,2.3,0.8,0.6,SF
Nicolas Batum,Portland Trail Blazers,11.3,82,36,13,0.47,0.36,0.8,7.5,5.1,0.9,0.7,SF
Norris Cole,Miami Heat,1.1,82,24.6,6.4,0.41,0.35,0.78,2,3,0.9,0.1,PG
Richard Jefferson,Utah Jazz,11,82,27,10.1,0.45,0.41,0.74,2.7,1.6,0.7,0.2,SF
