Report Date,FIPS,Locality,VDH Health District,Total Cases,Hospitalizations,Deaths
5/4/2020,51001,Accomack,Eastern Shore,425,21,6
5/4/2020,51003,Albemarle,Thomas Jefferson,110,16,4
5/4/2020,51005,Alleghany,Alleghany,6,4,0
5/4/2020,51007,Amelia,Piedmont,16,7,1
5/4/2020,51009,Amherst,Central Virginia,14,1,0
5/4/2020,51011,Appomattox,Central Virginia,21,0,0
5/4/2020,51013,Arlington,Arlington,1139,194,47
5/4/2020,51015,Augusta,Central Shenandoah,47,2,1
5/4/2020,51017,Bath,Central Shenandoah,0,0,0
5/4/2020,51019,Bedford,Central Virginia,35,1,0
5/4/2020,51021,Bland,Mount Rogers,0,0,0
5/4/2020,51023,Botetourt,Alleghany,28,9,3
5/4/2020,51025,Brunswick,Southside,15,3,0
5/4/2020,51027,Buchanan,Cumberland Plateau,16,0,0
5/4/2020,51029,Buckingham,Piedmont,137,8,0
5/4/2020,51031,Campbell,Central Virginia,13,1,0
5/4/2020,51033,Caroline,Rappahannock,32,5,1
5/4/2020,51035,Carroll,Mount Rogers,19,2,0
5/4/2020,51036,Charles City,Chickahominy,17,5,1
5/4/2020,51037,Charlotte,Piedmont,10,1,0
5/4/2020,51041,Chesterfield,Chesterfield,601,51,24
5/4/2020,51043,Clarke,Lord Fairfax,10,1,0
5/4/2020,51045,Craig,Alleghany,3,0,0
5/4/2020,51047,Culpeper,Rappahannock Rapidan,196,16,3
5/4/2020,51049,Cumberland,Piedmont,12,1,0
5/4/2020,51051,Dickenson,Cumberland Plateau,0,0,0
5/4/2020,51053,Dinwiddie,Crater,23,6,0
5/4/2020,51057,Essex,Three Rivers,16,2,0
5/4/2020,51059,Fairfax,Fairfax,4615,771,198
5/4/2020,51061,Fauquier,Rappahannock Rapidan,140,11,3
5/4/2020,51063,Floyd,New River,3,1,0
5/4/2020,51065,Fluvanna,Thomas Jefferson,76,20,6
5/4/2020,51067,Franklin County,West Piedmont,23,3,0
5/4/2020,51069,Frederick,Lord Fairfax,126,13,1
5/4/2020,51071,Giles,New River,4,0,0
5/4/2020,51073,Gloucester,Three Rivers,27,6,1
5/4/2020,51075,Goochland,Chickahominy,80,11,5
5/4/2020,51077,Grayson,Mount Rogers,4,0,0
5/4/2020,51079,Greene,Thomas Jefferson,12,2,1
5/4/2020,51081,Greensville,Crater,41,11,7
5/4/2020,51083,Halifax,Southside,19,1,0
5/4/2020,51085,Hanover,Chickahominy,141,33,12
5/4/2020,51087,Henrico,Henrico,964,137,105
5/4/2020,51089,Henry,West Piedmont,19,2,1
5/4/2020,51091,Highland,Central Shenandoah,2,0,0
5/4/2020,51093,Isle of Wight,Western Tidewater,99,9,2
5/4/2020,51095,James City,Peninsula,167,51,13
5/4/2020,51097,King and Queen,Three Rivers,3,0,0
5/4/2020,51099,King George,Rappahannock,35,13,4
5/4/2020,51101,King William,Three Rivers,9,1,1
5/4/2020,51103,Lancaster,Three Rivers,5,1,0
5/4/2020,51105,Lee,Lenowisco,10,1,0
5/4/2020,51107,Loudoun,Loudoun,961,96,18
5/4/2020,51109,Louisa,Thomas Jefferson,49,9,0
5/4/2020,51111,Lunenburg,Piedmont,4,0,0
5/4/2020,51113,Madison,Rappahannock Rapidan,16,2,1
5/4/2020,51115,Mathews,Three Rivers,4,1,0
5/4/2020,51117,Mecklenburg,Southside,106,21,10
5/4/2020,51119,Middlesex,Three Rivers,7,0,0
5/4/2020,51121,Montgomery,New River,59,7,1
5/4/2020,51125,Nelson,Thomas Jefferson,9,0,0
