date,year,month,day,season,rainfall,temperature,enterococci,day_num,month_num,month_name,season_name
2013-01-02,2013,1,2,1,0,23.4,6.7,2,1,January,Summer
2013-01-06,2013,1,6,1,0,30.3,2,6,1,January,Summer
2013-01-12,2013,1,12,1,0,31.4,69.1,12,1,January,Summer
2013-01-18,2013,1,18,1,0,46.4,9,18,1,January,Summer
2013-01-24,2013,1,24,1,0,27.5,33.9,24,1,January,Summer
2013-01-30,2013,1,30,1,0.6,26.6,26.5,30,1,January,Summer
2013-02-05,2013,2,5,1,0.1,25.7,66.9,36,2,February,Summer
2013-02-11,2013,2,11,1,8,22.2,117.5,42,2,February,Summer
2013-02-17,2013,2,17,1,13.6,26.3,75,48,2,February,Summer
2013-02-23,2013,2,23,1,7.2,24.8,310.6,54,2,February,Summer
2013-03-01,2013,3,1,2,28.6,21.2,135.4,60,3,March,Autumn
2013-03-07,2013,3,7,2,0,29.1,14.6,66,3,March,Autumn
2013-03-13,2013,3,13,2,0,29.4,3.5,72,3,March,Autumn
2013-03-19,2013,3,19,2,0,24.2,10.1818181818182,78,3,March,Autumn
2013-03-25,2013,3,25,2,0,25.8,57,84,3,March,Autumn
2013-04-02,2013,4,2,2,0,24.4,12.3636363636364,92,4,April,Autumn
2013-04-06,2013,4,6,2,12.6,22,43.6363636363636,96,4,April,Autumn
2013-04-12,2013,4,12,2,0,26.1,6.72727272727273,102,4,April,Autumn
2013-04-18,2013,4,18,2,7.8,23.2,8.45454545454546,108,4,April,Autumn
2013-04-24,2013,4,24,2,0,22.9,6.09090909090909,114,4,April,Autumn
2013-05-01,2013,5,1,2,0,24.4,6.09090909090909,121,5,May,Autumn
2013-05-07,2013,5,7,2,0,20,1.2,127,5,May,Autumn
2013-05-14,2013,5,14,2,0.4,19.3,9.2,134,5,May,Autumn
2013-05-20,2013,5,20,2,0,20.2,2.1,140,5,May,Autumn
2013-05-25,2013,5,25,2,11.4,18.6,17.1,145,5,May,Autumn
2013-05-31,2013,5,31,2,0,25,4.3,151,5,May,Autumn
2013-06-06,2013,6,6,3,0,21.8,4.1,157,6,June,Winter
2013-06-12,2013,6,12,3,0,16.2,160.9,163,6,June,Winter
2013-06-17,2013,6,17,3,0,16.4,24.2222222222222,168,6,June,Winter
2013-06-24,2013,6,24,3,55.6,15,32.5,175,6,June,Winter
2013-06-30,2013,6,30,3,60.8,15.7,845.2,181,6,June,Winter
2013-07-06,2013,7,6,3,0,18.5,5.3,187,7,July,Winter
2013-07-12,2013,7,12,3,0,20.8,2.5,193,7,July,Winter
2013-07-18,2013,7,18,3,0,23.3,4.2,199,7,July,Winter
2013-07-24,2013,7,24,3,0,16.1,47,205,7,July,Winter
2013-07-30,2013,7,30,3,0,20.1,2.4,211,7,July,Winter
2013-08-08,2013,8,8,3,10.4,13.3,30.3,220,8,August,Winter
2013-08-14,2013,8,14,3,0,24.7,0.8,226,8,August,Winter
2013-08-16,2013,8,16,3,0,21.7,0.2,228,8,August,Winter
