Year,acadpr01,birthyr,carede01,cocurr01,commute,enrlment,enter,envadm,envcompt,envdivrs,envevent,envnacad,envschol,envsocal,envsuprt,envstu,envfac,fathredu,mothredu,gnanaly,gncitizn,gncmpts,gncommun,gndivers,gnethics,gngenled,gninq,gnothers,gnprobsv,gnquant,gnself,gnspeak,gnwork,gnwrite,internat,livenow,race05,sex,social01/social05
2003,4,76,8,1,2,2,2,4,4,3,3,1,3,1,2,6,6,1,1,3,1,3,2,3,2,3,2,2,3,3,3,2,4,4,1,3,4,2,2
2003,4,77,1,4,2,2,1,5,4,3,4,2,3,2,3,7,5,1,1,4,4,4,3,4,3,3,3,4,2,3,3,4,3,2,1,1,4,1,2
2003,5,69,8,1,3,2,2,5,2,1,2,1,4,1,1,5,2,1,1,2,1,1,1,1,1,3,3,2,1,1,2,1,2,1,1,3,4,2,3
2003,3,73,8,1,2,2,2,2,2,1,1,1,2,1,1,3,4,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,3,7,2,2
2003,4,68,2,2,2,2,2,3,4,1,3,2,4,2,2,4,3,1,2,4,1,4,2,2,2,4,4,2,2,2,2,3,3,3,1,3,4,1,2
2003,4,80,2,2,2,2,2,4,4,1,3,1,3,2,3,4,5,1,2,3,2,4,1,1,2,4,2,3,2,3,2,3,3,4,1,3,4,2,2
2003,2,65,1,1,2,1,2,5,4,2,1,2,2,1,3,3,7,1,2,4,1,4,4,2,4,1,2,3,3,2,4,3,3,3,1,1,3,2,2
2003,2,81,1,2,2,2,1,6,4,3,3,2,4,2,3,5,4,1,2,3,1,2,2,3,3,2,2,3,3,3,2,2,2,2,1,3,4,2,4
2003,2,80,1,1,2,2,2,2,2,3,2,1,2,1,3,5,4,1,2,1,1,3,2,2,2,3,3,2,2,1,2,1,2,1,1,3,3,2,1
2003,3,80,1,1,4,2,2,7,3,3,3,3,3,3,3,7,7,2,2,3,2,3,2,3,2,3,4,3,2,2,4,3,4,3,1,3,2,2,4
2003,6,69,2,1,2,2,2,4,3,2,2,2,3,2,3,4,6,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3
2003,3,56,3,1,2,2,2,2,4,1,1,1,3,1,3,5,5,2,2,3,1,3,1,1,1,4,3,2,1,3,3,3,1,3,2,3,2,2,2
2003,3,80,2,1,2,2,2,5,4,3,3,4,4,4,4,5,5,2,2,3,1,4,3,3,4,3,3,3,3,4,3,3,3,3,2,2,2,2,2
2003,4,78,2,2,5,2,2,2,4,1,2,1,4,1,2,6,4,3,1,3,1,4,1,1,1,2,2,3,3,4,1,1,2,1,1,3,4,2,2
2003,4,81,1,3,3,2,1,2,3,2,2,1,4,2,2,5,4,2,2,2,1,3,1,2,2,3,2,2,1,2,2,2,1,2,1,3,4,2,4
2003,6,80,1,2,2,2,1,4,3,2,2,1,4,1,2,6,4,2,2,3,1,4,2,2,3,2,2,3,4,3,4,2,2,2,1,3,3,2,4
2003,2,80,8,1,2,2,1,7,4,4,3,1,4,2,4,7,6,2,2,4,2,4,4,3,4,3,4,4,4,4,4,4,4,1,1,3,4,2,2
2003,4,80,3,2,2,2,1,4,3,3,3,2,2,2,2,7,6,2,2,3,2,3,2,3,3,3,3,3,2,2,2,3,2,2,1,3,4,2,3
2003,7,53,8,1,4,1,2,7,1,4,3,4,3,2,4,7,7,2,2,3,4,2,1,1,1,3,2,3,1,3,1,2,3,2,1,3,4,2,2
2003,5,76,1,1,2,1,2,4,3,2,1,1,3,1,2,5,4,2,2,2,1,2,1,2,2,2,3,2,2,2,2,3,2,2,1,3,4,2,2
2003,6,64,8,2,3,2,2,7,4,3,3,2,3,2,4,6,7,2,2,3,3,4,3,4,3,4,4,4,3,3,4,3,4,4,1,3,4,1,3
2003,2,64,6,1,2,1,2,2,1,1,1,1,3,1,2,5,2,2,2,3,1,2,2,4,3,3,2,2,2,3,4,2,3,2,1,3,4,2,2
2003,8,79,1,2,2,2,1,4,4,2,3,1,4,2,3,6,4,2,2,4,2,4,3,3,3,4,3,3,4,4,3,3,4,3,1,1,4,1,3
2003,4,79,1,2,5,2,1,3,3,2,2,1,4,2,2,6,3,2,2,3,2,3,2,2,2,4,3,3,3,3,3,3,3,3,1,3,4,2,2
2003,5,77,2,3,2,2,1,5,4,3,2,2,2,2,3,7,6,2,2,4,4,4,4,4,4,4,3,4,4,3,3,4,4,4,1,3,4,1,6
2003,2,79,3,1,3,1,2,4,3,2,1,1,3,1,2,3,3,2,2,2,1,3,2,3,3,3,4,2,2,3,3,3,2,3,1,3,4,2,3
2003,7,56,1,1,3,2,1,7,4,1,1,1,3,1,2,6,5,2,2,3,1,4,1,2,1,2,3,3,1,4,2,2,3,2,1,3,4,1,5
2003,2,78,1,1,3,2,1,4,4,1,2,1,2,2,1,5,6,2,2,2,1,3,1,1,1,2,2,3,2,2,2,2,2,2,1,3,4,2,2
2003,3,69,1,2,2,2,1,5,4,3,4,1,3,3,3,6,6,2,2,3,1,4,3,3,3,4,3,4,3,2,3,3,3,3,1,3,4,1,5
2003,2,80,1,1,2,2,1,2,4,2,1,1,2,1,1,4,6,2,2,2,1,3,1,1,1,2,1,1,1,3,1,2,3,2,1,3,4,2,6
2003,5,75,1,1,2,1,2,4,3,2,2,2,3,3,3,5,5,2,2,3,3,2,3,3,3,3,3,3,3,1,3,3,2,3,1,1,4,1,8
2003,3,80,2,3,2,2,1,2,2,2,1,1,3,1,2,4,5,2,2,4,1,2,2,2,3,2,4,2,2,3,4,4,3,4,1,3,4,1,2
2003,4,56,8,1,2,1,2,3,2,3,3,2,4,2,4,4,5,2,2,3,2,3,3,3,3,2,3,3,2,2,3,3,3,2,1,3,4,2,3
2003,2,80,4,1,3,2,2,4,3,2,1,1,2,1,2,5,5,2,2,3,1,2,2,2,2,3,2,3,1,2,3,3,3,3,1,3,4,2,2
2003,2,71,2,1,2,2,1,2,3,3,2,1,2,2,2,5,6,1,3,4,2,2,2,4,2,4,3,2,3,2,4,4,2,4,1,3,4,2,4
2003,6,71,1,1,2,1,1,5,4,1,1,2,4,1,2,5,3,3,2,4,1,4,1,2,1,2,1,2,4,4,2,1,3,1,1,3,4,1,8
