Last.Name,party.labels,aye,nay,other
Courtney,Democrat,80,141,92
Lewis,Democrat,70,121,122
Bera,Democrat,95,125,93
McCollum,Democrat,88,142,83
Olson,Republican,130,114,69
Buchanan,Republican,120,100,93
McCaul,Republican,126,112,75
Jeffries,Democrat,76,139,98
Jones,Republican,110,104,99
Welch,Democrat,83,125,105
Yoho,Republican,124,111,78
Runyan,Republican,128,117,68
Woodall,Republican,116,122,75
McKeon,Republican,129,117,67
Ruiz,Democrat,96,126,91
Hanna,Republican,121,109,83
Cicilline,Democrat,82,134,97
Yarmuth,Democrat,82,119,112
Franks,Republican,121,102,90
Stivers,Republican,126,126,61
Price,Republican,121,119,73
Hurt,Republican,127,114,72
Hastings,Democrat,79,120,114
Israel,Democrat,83,143,87
Westmoreland,Republican,117,107,89
Farr,Democrat,80,126,107
McCarthy,Republican,136,117,60
Price,Democrat,92,137,84
Scott,Republican,129,117,67
O'Rourke,Democrat,90,130,93
Visclosky,Democrat,77,150,86
Beatty,Democrat,83,126,104
DeGette,Democrat,84,121,108
Rooney,Republican,126,116,71
Benishek,Republican,124,118,71
Cooper,Democrat,84,130,99
Fortenberry,Republican,132,117,64
Meadows,Republican,128,104,81
Kilmer,Democrat,88,138,87
Broun,Republican,100,134,79
Kuster,Democrat,93,127,93
Blumenauer,Democrat,84,125,104
Maffei,Democrat,88,138,87
Jackson Lee,Democrat,78,138,97
Bonamici,Democrat,88,128,97
Webster,Republican,133,97,83
Pascrell,Democrat,83,131,99
Lynch,Democrat,67,126,120
Wenstrup,Republican,131,114,68
Tierney,Democrat,84,124,105
Amash,Republican,93,135,85
Swalwell,Democrat,86,153,74
Johnson,Democrat,84,136,93
Brady,Democrat,77,138,98
Cotton,Republican,119,128,66
Perry,Republican,129,115,69
Loebsack,Democrat,92,124,97
Rice,Republican,128,109,76
Kennedy,Democrat,85,132,96
Roybal-Allard,Democrat,86,130,97
Lowey,Democrat,89,142,82
Shea-Porter,Democrat,90,129,94
Higgins,Democrat,80,117,116
Roe,Republican,127,118,68
Turner,Republican,127,130,56
Ryan,Republican,132,107,74
Stewart,Republican,132,111,70
Sanford,Republican,85,90,138
Engel,Democrat,79,131,103
Luetkemeyer,Republican,130,114,69
Titus,Democrat,90,127,96
Vela,Democrat,83,149,81
Cíçrdenas,Democrat,77,139,97
Watt,Democrat,79,130,104
Slaughter,Democrat,80,136,97
Barr,Republican,130,117,66
Ribble,Republican,119,113,81
Crowley,Democrat,81,137,95
LaMalfa,Republican,129,118,66
Massie,Republican,108,124,81
McHenry,Republican,132,106,75
Cuellar,Democrat,96,146,71
Reichert,Republican,130,119,64
Rohrabacher,Republican,104,100,109
Rokita,Republican,126,99,88
Lucas,Republican,126,126,61
Cartwright,Democrat,87,133,93
Carson,Democrat,84,137,92
Rangel,Democrat,83,118,112
Pelosi,Democrat,83,123,107
Barletta,Republican,134,107,72
Sessions,Republican,132,113,68
Bachmann,Republican,123,104,86
DelBene,Democrat,98,125,90
Huffman,Democrat,84,127,102
Frankel,Democrat,85,129,99
Granger,Republican,120,115,78
Smith,Republican,73,101,139
Scott,Democrat,87,131,95
Velíçzquez,Democrat,74,136,103
Fattah,Democrat,88,122,103
Issa,Republican,132,113,68
Harper,Republican,135,121,57
Peters,Democrat,92,121,100
Kline,Republican,134,109,70
Síçnchez,Democrat,76,143,94
Palazzo,Republican,125,118,70
Reed,Republican,124,122,67
Young,Republican,100,109,104
Bishop,Republican,124,105,84
Graves,Republican,115,125,73
Miller,Republican,111,92,110
Napolitano,Democrat,88,130,95
Carney,Democrat,91,126,96
Bass,Democrat,71,119,123
Pittenger,Republican,119,116,78
Hultgren,Republican,131,106,76
Ellison,Democrat,83,129,101
Wilson,Republican,130,114,69
Williams,Republican,131,114,68
Castor,Democrat,82,134,97
Langevin,Democrat,82,149,82
McKinley,Republican,133,114,66
Poe,Republican,112,122,79
Rogers,Republican,125,121,67
Neugebauer,Republican,129,118,66
Denham,Republican,125,127,61
Thornberry,Republican,130,118,65
Hanabusa,Democrat,93,130,90
Deutch,Democrat,81,134,98
Capps,Democrat,90,131,92
Speier,Democrat,78,120,115
Waters,Democrat,75,127,111
Radel,Republican,106,110,97
Holt,Democrat,77,97,139
Coffman,Republican,129,114,70
Smith,Democrat,81,129,103
Schweikert,Republican,122,98,93
Burgess,Republican,121,108,84
Cohen,Democrat,80,125,108
Pearce,Republican,121,129,63
McGovern,Democrat,76,139,98
Wasserman Schultz,Democrat,77,135,101
Lipinski,Democrat,97,121,95
Doyle,Democrat,83,126,104
Veasey,Democrat,83,147,83
Mulvaney,Republican,117,112,84
Smith,Republican,132,117,64
Thompson,Democrat,75,148,90
DeFazio,Democrat,81,134,98
Flores,Republican,123,120,70
Heck,Republican,125,124,64
Marino,Republican,131,113,69
Michaud,Democrat,88,129,96
Frelinghuysen,Republican,135,114,64
Peters,Democrat,89,136,88
Aderholt,Republican,123,115,75
Payne,Democrat,78,127,108
