Last.Name,party.labels,aye,nay,other
Courtney,Democrat,66,163,91
Lewis,Democrat,59,145,116
Bera,Democrat,84,141,95
McCollum,Democrat,74,154,92
Olson,Republican,127,103,90
Buchanan,Republican,125,91,104
McCaul,Republican,125,95,100
Jeffries,Democrat,67,142,111
Jones,Republican,97,99,124
Welch,Democrat,68,147,105
Yoho,Republican,125,113,82
Runyan,Republican,130,112,78
Woodall,Republican,116,109,95
McKeon,Republican,126,110,84
Ruiz,Democrat,88,132,100
Hanna,Republican,108,109,103
Cicilline,Democrat,72,144,104
Yarmuth,Democrat,69,140,111
Franks,Republican,124,101,95
Stivers,Republican,120,118,82
Price,Republican,119,113,88
Hurt,Republican,130,95,95
Hastings,Democrat,62,132,126
Israel,Democrat,71,151,98
Westmoreland,Republican,117,97,106
Farr,Democrat,68,146,106
McCarthy,Republican,131,103,86
Price,Democrat,78,152,90
Scott,Republican,128,106,86
O'Rourke,Democrat,78,144,98
Visclosky,Democrat,66,164,90
Beatty,Democrat,75,147,98
DeGette,Democrat,66,144,110
Rooney,Republican,122,105,93
Benishek,Republican,116,118,86
Cooper,Democrat,79,153,88
Fortenberry,Republican,124,102,94
Meadows,Republican,130,98,92
Kilmer,Democrat,69,153,98
Broun,Republican,104,114,102
Kuster,Democrat,79,138,103
Blumenauer,Democrat,72,140,108
Maffei,Democrat,75,149,96
Jackson Lee,Democrat,66,148,106
Bonamici,Democrat,76,150,94
Webster,Republican,124,96,100
Pascrell,Democrat,72,142,106
Lynch,Democrat,50,126,144
Wenstrup,Republican,127,110,83
Tierney,Democrat,64,142,114
Amash,Republican,99,137,84
Swalwell,Democrat,76,157,87
Johnson,Democrat,73,139,108
Brady,Democrat,63,157,100
Cotton,Republican,116,123,81
Perry,Republican,126,108,86
Loebsack,Democrat,80,141,99
Rice,Republican,130,99,91
Kennedy,Democrat,71,153,96
Roybal-Allard,Democrat,67,150,103
Lowey,Democrat,76,150,94
Shea-Porter,Democrat,77,143,100
Higgins,Democrat,63,118,139
Roe,Republican,122,101,97
Turner,Republican,118,125,77
Ryan,Republican,131,105,84
Stewart,Republican,127,108,85
Sanford,Republican,73,83,164
Engel,Democrat,66,139,115
Luetkemeyer,Republican,131,107,82
Titus,Democrat,81,145,94
Vela,Democrat,76,158,86
CՍrdenas,Democrat,69,138,113
Watt,Democrat,72,142,106
Slaughter,Democrat,58,156,106
Barr,Republican,124,111,85
Ribble,Republican,116,113,91
Crowley,Democrat,64,159,97
LaMalfa,Republican,130,101,89
Massie,Republican,111,120,89
McHenry,Republican,130,98,92
Cuellar,Democrat,76,164,80
Reichert,Republican,123,120,77
Rohrabacher,Republican,100,100,120
