Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Aaron Gordon,PF,25,ORL,19,19,552,91,213,0.427,31,84,0.369,60,129,0.465,0.5,49,80,0.613,33,104,137,80,14,16,53,38,262
Aaron Holiday,PG,24,IND,35,6,667,95,256,0.371,38,108,0.352,57,148,0.385,0.445,29,40,0.725,7,39,46,63,20,4,29,62,257
Aaron Nesmith,SF,21,BOS,18,0,281,25,63,0.397,17,48,0.354,8,15,0.533,0.532,8,12,0.667,10,34,44,7,3,5,11,37,75
Abdel Nader,SF,27,PHO,19,0,273,44,90,0.489,13,33,0.394,31,57,0.544,0.561,20,25,0.8,3,43,46,15,6,7,13,24,121
Adam Mokoka,SG,22,CHI,7,0,42,5,14,0.357,1,8,0.125,4,6,0.667,0.393,0,0,,1,3,4,4,2,1,2,5,11
Al Horford,C,34,OKC,24,24,677,138,312,0.442,47,132,0.356,91,180,0.506,0.518,14,18,0.778,23,137,160,84,21,21,27,43,337
Alec Burks,SG,29,NYK,25,3,617,92,227,0.405,47,117,0.402,45,110,0.409,0.509,47,56,0.839,12,96,108,51,18,5,27,48,278
Aleksej Pokusevski,PF,19,OKC,17,0,296,23,93,0.247,10,56,0.179,13,37,0.351,0.301,0,0,,5,55,60,21,8,19,22,16,56
Alex Caruso,PG,26,LAL,29,0,577,62,145,0.428,28,70,0.4,34,75,0.453,0.524,16,23,0.696,17,63,80,70,30,6,32,51,168
Alex Len,C,27,TOT,26,6,352,54,86,0.628,6,20,0.3,48,66,0.727,0.663,24,42,0.571,19,62,81,23,9,32,25,47,138
Alex Len,C,27,TOR,7,2,76,5,10,0.5,3,6,0.5,2,4,0.5,0.65,3,6,0.5,0,11,11,3,1,6,8,10,16
Alex Len,C,27,WAS,19,4,276,49,76,0.645,3,14,0.214,46,62,0.742,0.664,21,36,0.583,19,51,70,20,8,26,17,37,122
Al-Farouq Aminu,PF,30,ORL,9,6,163,17,43,0.395,6,15,0.4,11,28,0.393,0.465,7,9,0.778,9,28,37,15,8,5,10,9,47
Alfonzo McKinnie,SF,28,LAL,18,0,84,16,30,0.533,5,12,0.417,11,18,0.611,0.617,5,8,0.625,7,13,20,1,2,0,1,7,42
Amir Coffey,SG,23,LAC,20,0,154,21,40,0.525,11,21,0.524,10,19,0.526,0.663,3,9,0.333,3,12,15,8,4,0,8,11,56
Andre Drummond,C,27,CLE,25,25,722,180,380,0.474,0,8,0,180,372,0.484,0.474,77,129,0.597,101,236,337,64,40,29,81,69,437
Andre Iguodala,SF,37,MIA,34,2,735,57,147,0.388,38,112,0.339,19,35,0.543,0.517,14,25,0.56,20,107,127,77,36,16,36,51,166
Andre Roberson,SG,29,BRK,5,0,63,2,14,0.143,1,8,0.125,1,6,0.167,0.179,1,2,0.5,7,8,15,4,3,1,2,4,6
Andrew Wiggins,PF,25,GSW,37,37,1193,241,521,0.463,65,185,0.351,176,336,0.524,0.525,82,122,0.672,38,127,165,81,30,40,69,85,629
Anfernee Simons,SG,21,POR,32,0,543,87,220,0.395,65,158,0.411,22,62,0.355,0.543,22,26,0.846,6,72,78,41,6,5,27,55,261
Anthony Davis,PF,27,LAL,23,23,755,204,383,0.533,17,58,0.293,187,325,0.575,0.555,93,130,0.715,47,146,193,70,31,41,45,42,518
Anthony Edwards,SG,19,MIN,36,19,1048,199,537,0.371,68,225,0.302,131,312,0.42,0.434,70,87,0.805,26,118,144,90,31,15,66,55,536
Anthony Gill,PF,28,WAS,12,1,67,3,10,0.3,1,7,0.143,2,3,0.667,0.35,3,4,0.75,3,16,19,4,3,2,3,3,10
Anžejs Pase??iks,C,25,WAS,1,0,6,0,1,0,0,1,0,0,0,,0,0,0,,1,0,1,1,0,0,5,2,0
Aron Baynes,C,34,TOR,33,26,649,88,200,0.44,17,70,0.243,71,130,0.546,0.483,15,20,0.75,54,125,179,35,10,11,30,80,208
Ashton Hagans,PG,21,MIN,2,0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,0,0
Austin Rivers,SG,28,NYK,21,2,442,58,135,0.43,28,77,0.364,30,58,0.517,0.533,10,14,0.714,5,42,47,42,12,0,22,32,154
Avery Bradley,SG,30,MIA,10,1,211,31,66,0.47,16,38,0.421,15,28,0.536,0.591,7,9,0.778,2,16,18,14,7,1,9,26,85
Bam Adebayo,C,23,MIA,33,33,1119,236,419,0.563,2,6,0.333,234,413,0.567,0.566,160,189,0.847,72,241,313,179,29,34,98,80,634
Ben McLemore,SG,27,HOU,24,2,372,50,140,0.357,32,102,0.314,18,38,0.474,0.471,17,23,0.739,10,41,51,23,14,1,23,34,149
Ben Simmons,PG,24,PHI,31,31,1051,192,332,0.578,2,7,0.286,190,325,0.585,0.581,112,167,0.671,54,191,245,236,49,22,104,96,498
