Player,2020-21
A.J. Hammons,350087.00
Aaron Gordon,18136364.00
Aaron Holiday,2345640.00
Aaron Nesmith,3458400.00
Abdel Nader,1752950.00
Admiral Schofield,1517981.00
Al Horford,27500000.00
Alec Burks,6000000.00
Aleksej Pokusevski,2964840.00
Alen Smailagi?,1517981.00
Alex Caruso,2750000.00
Alex Len,4032648.00
Alex Len,4032648.00
Al-Farouq Aminu,9720900.00
Alfonzo McKinnie,1762796.00
Anderson Varejão,1913345.00
Andre Drummond,28751775.00
Andre Iguodala,15000000.00
Andre Roberson,152839.00
Andrew Nicholson,2844429.00
Andrew Wiggins,29542010.00
Anfernee Simons,2252040.00
Anthony Davis,32742000.00
Anthony Edwards,9757440.00
Anthony Gill,898310.00
Anžejs Pase??iks,350000.00
Aron Baynes,6975610.00
Austin Rivers,3174603.00
Avery Bradley,5635000.00
Bam Adebayo,5115492.00
Ben McLemore,2283034.00
Ben Simmons,29250000.00
Bismack Biyombo,2331593.00
Blake Griffin,36595996.00
Boban Marjanovi?,3500000.00
Bobby Portis,3623000.00
Bogdan Bogdanovi?,18000000.00
Bojan Bogdanovi?,17850000.00
Bol Bol,2058240.00
Brad Wanamaker,2250000.00
Bradley Beal,28751775.00
Brandon Clarke,2602920.00
Brandon Goodwin,1701593.00
Brandon Ingram,27285000.00
Brook Lopez,12697675.00
Bruce Brown,1663861.00
Bruno Caboclo,361256.00
Bruno Fernando,1517981.00
Bryn Forbes,2337145.00
Buddy Hield,24431818.00
Caleb Martin,1517981.00
Cam Reddish,4458000.00
Cameron Johnson,4235160.00
Cameron Payne,1977011.00
Caris LeVert,16203704.00
Carmelo Anthony,2564753.00
Carsen Edwards,1517981.00
Cedi Osman,8750000.00
Chandler Hutchison,2443440.00
Chimezie Metu,
Chris Boucher,6490385.00
Chris Clemons,1517981.00
Chris Paul,41358814.00
Chris Silva,1517981.00
Christian Wood,13015874.00
Chuma Okeke,3121080.00
CJ Elleby,898310.00
CJ McCollum,29354152.00
Clint Capela,16000000.00
Coby White,5572680.00
Cody Martin,1517981.00
Cody Zeller,15415730.00
Cole Aldrich,685340.00
Cole Anthony,3285120.00
Collin Sexton,4991880.00
Cory Joseph,12600000.00
Cristiano Felício,7529020.00
D.J. Augustin,6666667.00
D.J. Wilson,4548280.00
Dakari Johnson,459414.00
Damian Jones,785285.00
Damian Lillard,31626953.00
Damion Lee,1762796.00
Damyean Dotson,2000000.00
D'Angelo Russell,28649250.00
Daniel Gafford,1517981.00
Daniel Oturu,898310.00
Daniel Theis,5000000.00
Danilo Gallinari,19500000.00
Danny Green,15365854.00
Dante Exum,9600000.00
Danuel House,3717000.00
DaQuan Jeffries,1445697.00
Dario Šari?,8333333.00
Darius Bazley,2399160.00
Darius Garland,6720720.00
Darius Miller,7000000.00
David Nwaba,1862250.00
D?vis Bert?ns,15000000.00
De'Aaron Fox,8099627.00
Dean Wade,1517981.00
Deandre Ayton,10018200.00
DeAndre' Bembry,1737145.00
De'Andre Hunter,7422000.00
DeAndre Jordan,10375678.00
De'Anthony Melton,7812500.00
Deividas Sirvydis,898310.00
Dejounte Murray,14285714.00
Delon Wright,9000000.00
DeMar DeRozan,27739975.00
DeMarcus Cousins,2331593.00
DeMarre Carroll,6167887.00
Demetrius Jackson,92857.00
Deni Avdija,4469160.00
Dennis Schröder,15500000.00
Dennis Smith Jr.,5686677.00
Denzel Valentine,4642800.00
Derrick Favors,9258000.00
Derrick Jones Jr.,9268293.00
Derrick Rose,7682927.00
Derrick White,3516284.00
Desmond Bane,1936440.00
Devin Booker,29430000.00
Devin Vassell,4033440.00
Devonte' Graham,1663861.00
Dewayne Dedmon,2866667.00
Dillon Brooks,11400000.00
Dion Waiters,12650000.00
Domantas Sabonis,17187500.00
Donovan Mitchell,5195501.00
Donte DiVincenzo,3044160.00
Dorian Finney-Smith,4000000.00
Doug McDermott,7333333.00
Draymond Green,22246956.00
Drew Eubanks,1620564.00
Duncan Robinson,1663861.00
Dwayne Bacon,1678854.00
Dwight Howard,2564753.00
Dwight Powell,10185185.00
Dylan Windler,2137440.00
Ed Davis,5005350.00
Edmond Sumner,2160000.00
Elfrid Payton,5760000.00
Elfrid Payton,5760000.00
Elijah Hughes,898310.00
Enes Kanter,5005350.00
Eric Bledsoe,16875000.00
Eric Gordon,16869276.00
Eric Paschall,1517981.00
E'Twaun Moore,2331593.00
Evan Fournier,17000000.00
Facundo Campazzo,3623000.00
Frank Jackson,
Frank Kaminsky,1882867.00
Frank Ntilikina,6176578.00
Fred VanVleet,21250000.00
Furkan Korkmaz,1762796.00
Garrett Temple,4767000.00
Gary Clark,1944677.00
Gary Harris,19160714.00
Gary Trent Jr.,1663861.00
George Hill,9590602.00
Georges Niang,1783557.00
Giannis Antetokounmpo,27528090.00
Glenn Robinson III,930930.00
Goga Bitadze,2957520.00
Goran Dragi?,18000000.00
Gordon Hayward,28500000.00
Gorgui Dieng,17287640.00
Grant Williams,2498760.00
Grayson Allen,2545320.00
Guerschon Yabusele,1039080.00
Hamidou Diallo,1663861.00
Harrison Barnes,22215909.00
Harry Giles,1678854.00
