Player,Salary
Stephen Curry,"$48,070,014 "
Russell Westbrook,"$47,063,478 "
LeBron James,"$44,474,988 "
Kevin Durant,"$44,119,845 "
Bradley Beal,"$43,279,250 "
Damian Lillard,"$42,492,492 "
Giannis Antetokounmpo,"$42,492,492 "
Kawhi Leonard,"$42,492,492 "
Paul George,"$42,492,492 "
John Wall,"$47,345,760 "
Klay Thompson,"$40,600,080 "
Rudy Gobert,"$38,172,414 "
Anthony Davis,"$37,980,720 "
Khris Middleton,"$37,948,276 "
Jimmy Butler,"$37,653,300 "
Tobias Harris,"$37,633,050 "
Luka DonÄiÄ‡,"$37,096,500 "
Trae Young,"$37,096,500 "
Zach LaVine,"$37,096,500 "
Kyrie Irving,"$36,934,550 "
Ben Simmons,"$35,448,672 "
Pascal Siakam,"$35,448,672 "
Devin Booker,"$33,833,400 "
Karl-Anthony Towns,"$33,833,400 "
Kristaps PorziÅ†Ä£is,"$33,833,400 "
Jrue Holiday,"$33,665,040 "
Joel Embiid,"$33,616,770 "
Andrew Wiggins,"$33,616,770 "
CJ McCollum,"$33,333,333 "
Nikola JokiÄ‡,"$33,047,803 "
James Harden,"$33,000,000 "
Brandon Ingram,"$31,650,600 "
Jamal Murray,"$31,650,600 "
D'Angelo Russell,"$31,377,750 "
Shai Gilgeous-Alexander,"$30,913,750 "
Michael Porter Jr.,"$30,913,750 "
Deandre Ayton,"$30,913,750 "
De'Aaron Fox,"$30,351,780 "
Bam Adebayo,"$30,351,780 "
Donovan Mitchell,"$30,351,780 "
Jayson Tatum,"$30,351,780 "
Gordon Hayward,"$30,075,000 "
Jaren Jackson Jr.,"$28,946,605 "
Kevin Love,"$28,942,830 "
Jaylen Brown,"$28,741,071 "
Chris Paul,"$28,400,000 "
Kyle Lowry,"$28,333,334 "
Jalen Brunson,"$27,733,332 "
Kemba Walker,"$9,165,471 "
DeMar DeRozan,"$27,300,000 "
Al Horford,"$26,500,000 "
Draymond Green,"$25,806,468 "
Julius Randle,"$23,760,000 "
John Collins,"$23,500,000 "
Mike Conley,"$22,680,000 "
Malcolm Brogdon,"$22,600,000 "
Anfernee Simons,"$22,321,429 "
Nikola VuÄeviÄ‡,"$22,000,000 "
Terry Rozier,"$21,486,316 "
Fred VanVleet,"$21,250,000 "
Buddy Hield,"$21,177,750 "
Jerami Grant,"$20,955,000 "
Spencer Dinwiddie,"$20,171,427 "
Mikal Bridges,"$20,100,000 "
Jarrett Allen,"$20,000,000 "
Aaron Gordon,"$19,690,909 "
Tim Hardaway Jr.,"$19,602,273 "
Eric Gordon,"$19,568,360 "
Bojan BogdanoviÄ‡,"$19,550,000 "
Lonzo Ball,"$19,534,884 "
Caris LeVert,"$18,796,296 "
Clint Capela,"$18,706,896 "
Joe Harris,"$18,642,857 "
Domantas Sabonis,"$18,500,000 "
Harrison Barnes,"$18,352,273 "
Evan Fournier,"$18,000,000 "
Myles Turner,"$18,000,000 "
Bogdan BogdanoviÄ‡,"$18,000,000 "
Steven Adams,"$17,926,829 "
Gary Trent Jr.,"$17,505,000 "
Jonathan Isaac,"$17,400,000 "
OG Anunoby,"$17,357,143 "
Marcus Smart,"$17,207,142 "
Mitchell Robinson,"$17,045,454 "
Duncan Robinson,"$16,902,000 "
Derrick White,"$16,892,857 "
Norman Powell,"$16,758,621 "
Dejounte Murray,"$16,571,120 "
Collin Sexton,"$16,500,000 "
Markelle Fultz,"$16,500,000 "
Lauri Markkanen,"$16,475,454 "
Marcus Morris,"$16,372,093 "
DÄvis BertÄns,"$16,000,000 "
Jusuf NurkiÄ‡,"$15,625,000 "
Malik Beasley,"$15,558,035 "
Luguentz Dort,"$15,277,778 "
Tyus Jones,"$15,000,000 "
Jonas ValanÄiÅ«nas,"$14,700,000 "
Derrick Rose,"$14,520,730 "
Kevin Huerter,"$14,508,929 "
Luke Kennard,"$14,415,545 "
Will Barton,"$14,375,000 "
Christian Wood,"$14,317,459 "
Wendell Carter Jr.,"$14,150,000 "
Kentavious Caldwell-Pope,"$14,004,703 "
Brook Lopez,"$13,906,976 "
Doug McDermott,"$13,750,000 "
Zion Williamson,"$13,534,817 "
Jordan Clarkson,"$13,340,000 "
Kyle Kuzma,"$13,000,000 "
Gary Harris,"$13,000,000 "
Patrick Beverley,"$13,000,000 "
Josh Hart,"$12,960,000 "
Kelly Olynyk,"$12,804,878 "
Chris Boucher,"$12,690,000 "
Kelly Oubre Jr.,"$12,600,000 "
Marvin Bagley III,"$12,500,000 "
Dorian Finney-Smith,"$12,402,000 "
Robert Covington,"$12,307,692 "
Josh Richardson,"$12,196,094 "
Ja Morant,"$12,119,440 "
Devonte' Graham,"$11,550,000 "
Terrence Ross,"$11,500,000 "
Dillon Brooks,"$11,400,000 "
Richaun Holmes,"$11,215,260 "
Reggie Jackson,"$11,215,260 "
Dwight Powell,"$11,080,125 "
Paolo Banchero,"$11,055,120 "
Robert Williams,"$10,937,502 "
RJ Barrett,"$10,900,635 "
Bobby Portis,"$10,843,350 "
Nicolas Batum,"$19,700,319 "
Anthony Edwards,"$10,733,400 "
Cade Cunningham,"$10,552,800 "
P.J. Tucker,"$10,490,000 "
Danilo Gallinari,"$16,907,880 "
Mo Bamba,"$10,300,000 "
Talen Horton-Tucker,"$10,260,000 "
Jae Crowder,"$10,183,800 "
Derrick Favors,"$10,183,800 "
Ivica Zubac,"$10,123,457 "
Reggie Bullock,"$10,012,800 "
Alec Burks,"$10,012,800 "
Danny Green,"$10,000,000 "
Chet Holmgren,"$9,891,240 "
De'Andre Hunter,"$9,835,881 "
Larry Nance Jr.,"$9,672,727 "
James Wiseman,"$9,603,360 "
Landry Shamet,"$9,500,000 "
Malik Monk,"$9,472,219 "
Jalen Green,"$9,441,840 "
Jakob Poeltl,"$9,398,148 "
Dario Å ariÄ‡,"$9,240,000 "
Nerlens Noel,"$9,240,000 "
Royce O'Neale,"$9,200,000 "
Kemba Walker,"$9,165,471 "
Monte Morris,"$9,125,000 "
Mason Plumlee,"$9,080,417 "
