GameDate,AwayTeam,HomeTeam,qtr,min,sec,kickteam,def,down,togo,kicker,ydline,name,distance,homekick,kickdiff,timerem,offscore,defscore,season,GOOD,Missed,Blocked
20081130,IND,CLE,1,47,2,IND,CLE,4,11,15,12,A.Vinatieri,30,0,-3,2822,0,3,2008,1,0,0
20081005,IND,HOU,1,54,47,IND,HOU,4,3,15,28,A.Vinatieri,46,0,0,3287,0,0,2008,1,0,0
20081228,TEN,IND,1,45,20,IND,TEN,4,3,15,10,A.Vinatieri,28,1,7,2720,7,0,2008,1,0,0
20081012,BAL,IND,1,45,42,IND,BAL,4,1,15,19,A.Vinatieri,37,1,14,2742,14,0,2008,1,0,0
20080907,CHI,IND,1,50,56,IND,CHI,4,21,15,21,A.Vinatieri,39,1,0,3056,0,0,2008,1,0,0
20081116,HOU,IND,1,50,43,IND,HOU,4,7,15,22,A.Vinatieri,40,1,-3,3043,0,3,2008,1,0,0
20081123,IND,SD,1,46,45,IND,SD,4,5,15,5,A.Vinatieri,23,0,0,2805,0,0,2008,1,0,0
20081207,KC,DEN,1,52,34,KC,DEN,4,7,18,8,C.Barth,26,0,0,3154,0,0,2008,1,0,0
20081130,KC,OAK,1,46,12,KC,OAK,4,7,18,20,C.Barth,38,0,-3,2772,0,3,2008,1,0,0
20090118,PHI,ARI,1,49,46,PHI,ARI,4,9,29,27,D.Akers,45,0,-7,2986,0,7,2008,1,0,0
20080915,PHI,DAL,1,48,7,PHI,DAL,4,9,29,26,D.Akers,44,0,-4,2887,3,7,2008,1,0,0
20080915,PHI,DAL,1,55,48,PHI,DAL,4,3,29,16,D.Akers,34,0,0,3348,0,0,2008,1,0,0
20090104,PHI,MIN,1,51,49,PHI,MIN,4,9,29,26,D.Akers,43,0,0,3109,0,0,2008,1,0,0
20090104,PHI,MIN,1,45,2,PHI,MIN,4,2,29,33,D.Akers,51,0,3,2702,3,0,2008,1,0,0
20081207,PHI,NYG,1,45,4,PHI,NYG,4,11,29,33,D.Akers,51,0,0,2704,0,0,2008,1,0,0
20081215,CLE,PHI,1,45,52,PHI,CLE,4,6,29,6,D.Akers,24,1,4,2752,7,3,2008,1,0,0
20081228,DAL,PHI,1,53,54,PHI,DAL,4,5,29,22,D.Akers,40,1,0,3234,0,0,2008,1,0,0
20081005,WAS,PHI,1,45,28,PHI,WAS,4,5,29,32,D.Akers,50,1,7,2728,7,0,2008,0,1,0
