Status,IPAddress,Progress,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,Group_1,Group_2,Group_3,Group_4,Group_5,Group_6,Group_7,Group_8,Group_9
IP Address,100.7.70.211,100,R_1cUjqTquQAUuFE9,37.48170471,-77.63770294,anonymous,6,4,7,1,8,2,5,9,3
IP Address,108.28.181.147,100,R_8nNj7zzaLmWlLfr,38.93069458,-77.16729736,anonymous,7,5,4,1,9,6,3,8,2
IP Address,172.58.159.195,100,R_3pmTXbfw7b2G4c3,35.229599,-80.84300232,anonymous,4,3,9,1,6,8,5,7,2
IP Address,199.111.212.151,100,R_1jDiGiX72PWnXaO,38.09359741,-78.56230164,anonymous,9,2,8,4,7,1,3,5,6
IP Address,199.111.212.163,100,R_1C1HXBYi3UgjuIB,38.09359741,-78.56230164,anonymous,5,9,1,2,7,4,6,8,3
IP Address,199.111.213.103,100,R_3Eg7XLsZURqrmfC,38.0401001,-78.48509979,anonymous,4,7,5,2,1,6,9,3,8
IP Address,199.111.213.240,100,R_2bHNqMHuFGjnMSF,38.0401001,-78.48509979,anonymous,4,7,2,6,8,1,9,3,5
IP Address,199.111.225.142,100,R_sdk7c9Lrvz9hNYZ,38.09359741,-78.56230164,anonymous,3,1,5,4,6,9,7,8,2
IP Address,199.111.226.185,100,R_3Pn7BJPh53gJiFl,38.09359741,-78.56230164,anonymous,2,3,8,1,9,5,6,7,4
IP Address,199.111.226.189,100,R_1jybQCTiN0U3okx,38.09359741,-78.56230164,anonymous,5,6,3,2,4,9,8,7,1
IP Address,199.111.226.60,100,R_1jOHCAzVMj4gvgg,38.09359741,-78.56230164,anonymous,9,4,8,1,5,7,6,4,2
IP Address,199.111.227.108,100,R_3FJdAaqeHVyPHlM,38.03210449,-78.48899841,anonymous,8,5,7,3,6,9,2,4,1
IP Address,216.197.71.192,100,R_1jDuZcsgpnNV5fU,38.03210449,-78.48899841,anonymous,2,3,9,4,1,6,7,8,5
IP Address,216.197.76.201,100,R_1MXKeU34mx47tm3,38.02709961,-78.47969818,anonymous,3,8,2,5,4,9,7,6,1
IP Address,216.30.176.131,100,R_3s5pC9r428EYC3j,38.02709961,-78.47969818,anonymous,4,8,1,3,9,7,5,6,2
