PRIMARY_KEY,STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE
1992_ALABAMA,ALABAMA,1992,,2678885,304177,1659028,715680,2653798,1481703,735036,,174053,8224,55460,57948,58025,41167,,,731634,208,252,207,
1992_ALASKA,ALASKA,1992,,1049591,106780,720711,222100,972488,498362,350902,,37451,2371,10152,9748,8789,6714,,,122487,,,,
1992_ARIZONA,ARIZONA,1992,,3258079,297888,1369815,1590376,3401580,1435908,1007732,,609114,2544,53497,55433,49081,37410,,,673477,215,265,209,
1992_ARKANSAS,ARKANSAS,1992,,1711959,178571,958785,574603,1743022,964323,483488,,145212,808,33511,34632,36011,27651,,,441490,210,256,211,
1992_CALIFORNIA,CALIFORNIA,1992,,26260025,2072470,16546514,7641041,27138832,14358922,8520926,,2044688,59067,431763,418418,363296,270675,,,5254844,208,261,202,
1992_COLORADO,COLORADO,1992,,3185173,163253,1307986,1713934,3264826,1642466,1035970,,364760,7410,47588,50648,45025,34533,,,612635,221,272,217,
1992_CONNECTICUT,CONNECTICUT,1992,,3834302,143542,1342539,2348221,3721338,2148041,1142600,,48542,5731,41319,38058,33691,28366,,,488476,227,274,222,
1992_DELAWARE,DELAWARE,1992,,645233,45945,420942,178346,638784,372722,194915,,30595,463,8025,8272,8012,6129,,,104321,218,263,213,
1992_DISTRICT_OF_COLUMBIA,DISTRICT_OF_COLUMBIA,1992,,709480,64749,0,644731,742893,329160,316679,,47272,4818,6667,5832,5000,3433,,,80937,193,235,188,
1992_FLORIDA,FLORIDA,1992,,11506299,788420,5683949,5033930,11305642,5166374,3410440,,1667826,31464,161701,164416,142372,100835,,,1981407,214,260,208,
1992_GEORGIA,GEORGIA,1992,,5536901,398701,2798674,2339526,5535942,3043984,1559059,,526644,3303,100745,99648,92374,63646,,,1207186,216,259,212,
1992_HAWAII,HAWAII,1992,,996809,71273,903443,22093,1040121,536115,291376,,126212,525,14440,13754,11750,9051,,,177448,214,257,203,
1992_IDAHO,IDAHO,1992,,859329,69138,531912,258279,886161,473505,246320,,111353,1231,16018,18607,18880,14593,,,231668,222,275,219,
1992_ILLINOIS,ILLINOIS,1992,,9748650,597077,3073178,6078395,9850560,5010400,3148849,,727858,39682,139237,133120,134317,106475,,,1873567,,,,
1992_INDIANA,INDIANA,1992,,5060274,257044,2578149,2225081,5182754,2598925,1478639,,536404,3225,66065,73760,75477,62234,,,960630,221,270,221,
1992_IOWA,IOWA,1992,,2663934,125665,1176205,1362064,2795774,1446478,800570,,222086,4592,36428,37692,36892,33057,,,494839,230,283,225,
1992_KANSAS,KANSAS,1992,,2245348,121625,903199,1220524,2234915,1165749,708572,,157705,2391,34826,36013,33288,26706,,,451536,,,,
1992_KENTUCKY,KENTUCKY,1992,,2642902,289902,1643109,709891,2518082,1343438,817871,,136694,14564,46140,49666,49993,38029,,,655041,215,262,213,
1992_LOUISIANA,LOUISIANA,1992,,3341253,367822,1848734,1124697,3362853,1888349,986486,,135305,11439,61244,61125,55942,38368,,,797985,204,250,204,
1992_MAINE,MAINE,1992,,1206819,73160,511654,622005,1228869,685350,317880,,97128,1273,17367,17154,15969,13882,,,216453,232,279,227,
1992_MARYLAND,MARYLAND,1992,,4658498,228336,1778834,2651328,4698374,2628891,1461083,,340298,16081,59641,60287,52815,40426,,,751850,217,265,211,
1992_MASSACHUSETTS,MASSACHUSETTS,1992,,5517659,273946,1439051,3804662,5245560,2751871,1523068,,167247,10722,75159,66822,60702,52425,,,859948,227,273,226,
1992_MICHIGAN,MICHIGAN,1992,,9963137,537917,2539380,6885840,10170688,4681327,3321276,,825552,10541,135457,118963,114282,90655,,,1603610,220,267,216,
1992_MINNESOTA,MINNESOTA,1992,,4684684,194092,2380754,2109838,4981125,2534882,1343203,,463724,6394,61966,62606,59810,53813,,,793724,228,282,221,
1992_MISSISSIPPI,MISSISSIPPI,1992,,1684706,277706,901199,505801,1691990,956104,445364,,131795,818,36423,39839,38132,26328,,,506668,202,246,199,
1992_MISSOURI,MISSOURI,1992,,4043682,255194,1903124,1885364,4197600,2168135,1221397,,474552,18948,65108,67098,64546,50534,,,859357,222,271,220,
1992_MONTANA,MONTANA,1992,,828983,69947,337455,421581,781009,412219,241644,,64263,554,11894,12839,12124,10019,,,160011,,,,
1992_NEBRASKA,NEBRASKA,1992,,1542413,85423,492256,964734,1534046,909159,394690,,132183,3134,21873,22133,21379,18999,,,282414,225,278,221,
1992_NEVADA,NEVADA,1992,,1097076,45018,724032,328026,1251651,572623,334685,,249189,1038,17839,18487,16250,12242,,,222974,,,,
1992_NEW_HAMPSHIRE,NEW_HAMPSHIRE,1992,,1063391,31020,86296,946075,1066647,581123,310285,,63554,1005,7994,15611,13537,10752,,,181247,230,278,228,
1992_NEW_JERSEY,NEW_JERSEY,1992,,10814689,416063,4504718,5893908,10452340,6042936,2911782,,474259,9123,87427,82909,77779,67353,,,1130560,227,272,223,
1992_NEW_MEXICO,NEW_MEXICO,1992,,1330091,161520,990653,177918,1339829,683253,432392,,139206,2072,23723,24447,21690,16027,,,315668,213,260,211,
1992_NEW_YORK,NEW_YORK,1992,,21630179,1172030,8697663,11760486,22815611,13288972,6132532,,1640971,31290,201674,197698,184815,142822,,,2689686,218,266,215,
1992_NORTH_CAROLINA,NORTH_CAROLINA,1992,,5236099,389145,3283378,1563576,5418687,2847638,1422278,,774194,6119,89809,85244,84291,63427,,,1114083,213,258,212,
1992_NORTH_DAKOTA,NORTH_DAKOTA,1992,,559481,51476,242693,265312,553732,315009,152340,,34904,640,8847,9570,9102,8014,,,118734,229,283,226,
1992_OHIO,OHIO,1992,,9285961,472604,3631703,5181654,9483822,5172782,2961942,,742377,9900,138911,137839,137075,116085,,,1795199,219,268,217,
