IPAddress,ResponseId,LocationLatitude,LocationLongitude,Group_1,Group_2,Group_3,Group_4,Group_5
72.218.31.29,R_3PLy7Jx37DOxUDq,37.2671051,-76.72540283,1,2,3,4,5
64.99.233.5,R_aVHSOcR2ocZSXIZ,38.02709961,-78.47969818,5,3,1,4,2
76.108.112.233,R_WqEnu1MCiCizlXb,26.66419983,-80.17320251,2,4,3,5,1
174.226.132.83,R_DclORmyqK48OANj,37.26100159,-79.23169708,3,5,2,4,1
199.111.213.196,R_2R3p0RMZDXlqVMO,38.0401001,-78.48509979,4,1,3,5,2
73.251.39.102,R_YVO9REMFVnXMFjz,38.09359741,-78.56230164,3,2,1,5,4
96.255.239.7,R_1OK1PyrD0elgQ8N,38.96369934,-77.60990143,4,1,3,5,2
198.90.112.206,R_cMbpPAvj8Mv0prj,38.03210449,-78.48899841,2,3,4,1,5
199.111.225.62,R_1riCzoKUTV7xR0O,38.03210449,-78.48899841,4,2,1,3,5
73.147.28.98,R_2YhWl3AG94S7yzr,38.02709961,-78.47969818,4,3,1,5,2
