index,artists,album_name,track_name,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
0,UPPERROOM,Give Me Jesus (feat. Abbie Gamboa) - Single,Give Me Jesus,509752,FALSE,0.396,0.495,7,-9.342,1,0.0326,0.0265,0,0.0982,0.199,138.933,4,3.0
1,Common Gathering,Jesus My Everything (Acoustic) - Single,Jesus My Everything (Acoustic),386054,FALSE,0.268,0.15,11,-11.853,1,0.0325,0.951,0.00000298,0.103,0.262,67.994,4,3.0
2,The Worship Initiative,All Sufficient Merit - Single,All Sufficient Merit,326933,FALSE,0.273,0.493,4,-7.01,1,0.0321,0.283,0,0.0906,0.175,145.877,3,3.0
3,Shane and Shane,"Psalms, Hymns, And Spiritual Songs (Live)",All Sufficient Merit,330502,FALSE,0.24,0.522,0,-7.859,1,0.0361,0.103,0,0.1,0.255,146.251,3,3.0
4,Common Gathering,Hymn of Heaven (We Cry Holy) - Single,Hymn of Heaven (We Cry Holy) [Live],536390,FALSE,0.182,0.402,3,-9.514,1,0.0336,0.579,0,0.103,0.102,143.309,4,3.0
5,CityAlight,Yet Not I But Through Christ in Me - Single,Yet Not I But Through Christ in Me,331839,FALSE,0.473,0.449,0,-8.63,1,0.0259,0.495,0,0.158,0.245,71.99,4,3.0
6,"10,000 Fathers",All Things Together (feat. Aaron Williams) [Live],All Things Together (feat. Aaron WIlliams),340587,FALSE,0.196,0.495,7,-8.012,1,0.0329,0.768,0.00129,0.316,0.178,155.949,3,3.0
7,Common Gathering,Broken Offering - Single,Broken Offering,567066,FALSE,0.385,0.449,4,-7.68,1,0.0308,0.49,0.00126,0.0944,0.0899,135.88,4,3.0
8,Common Gathering,Shepherd - Single,Shepherd,370250,FALSE,0.399,0.625,1,-6.81,1,0.0323,0.0983,0.000104,0.107,0.319,141.914,4,3.0
9,Audrey Assad,Inheritance,Be Thou My Vision,213730,FALSE,0.194,0.324,1,-12.412,1,0.0338,0.902,0.196,0.109,0.157,169.758,3,3.0
