Q2,Q3,Q4,Q5,Q6
27,13,41,5,40
7,35,20,29,12
29,35,12,34,23
2,18,30,16,31
14,24,17,2,25
6,10,25,29,38
20,13,41,7,47
33,12,35,18,31
17,15,7,5,33
22,36,4,25,53
35,27,19,47,49
12,5,26,36,34
14,7,16,8,22
6,10,26,29,45
14,49,36,50,25
35,9,12,7,37
4,10,32,33,48
10,8,11,17,24
36,26,12,23,27
16,42,30,7,10
4,10,6,8,23
17,19,55,31,16
25,6,54,11,12
25,15,27,34,10
54,3,8,31,33
54,6,4,17,30
9,6,15,12,18
10,17,6,,
7,42,28,48,14
34,4,10,13,15
3,4,2,14,19
2,13,30,37,46
3,5,19,22,24
22,4,17,51,29
5,45,53,38,10
6,16,13,28,48
20,38,39,2,21
6,32,25,48,15
6,9,17,30,34
1,28,31,49,37
18,16,31,2,6
50,30,34,27,15
3,8,24,34,45
6,,,,
30,50,20,27,16
