"main_colors","opp_colors","on_play","num_turns","won","cora","corc"
"WB","UB",TRUE,18,FALSE,1,0.38027951260071
"WB","G",FALSE,7,TRUE,1,0.38027951260071
"WB","UB",FALSE,9,TRUE,1,0.38027951260071
"WB","WG",TRUE,8,TRUE,1,0.38027951260071
"WB","WR",TRUE,9,FALSE,1,0.38027951260071
"WB","WB",TRUE,13,TRUE,1,0.38027951260071
"WB","WU",TRUE,7,TRUE,1,0.38027951260071
"WB","WB",TRUE,9,TRUE,1,0.38027951260071
"WB","UR",FALSE,7,TRUE,1,0.38027951260071
"UG","UB",FALSE,9,FALSE,-0.0404159917646258,-0.0409124885033219
"UG","UB",FALSE,8,TRUE,-0.0404159917646258,-0.0409124885033219
"UG","WBR",TRUE,5,TRUE,-0.0404159917646258,-0.0409124885033219
"UG","WBR",TRUE,7,TRUE,-0.0404159917646258,-0.0409124885033219
"UG","UG",TRUE,7,FALSE,-0.0404159917646258,-0.0409124885033219
"UG","BR",FALSE,11,TRUE,-0.0404159917646258,-0.0409124885033219
"UG","WB",FALSE,8,FALSE,-0.0404159917646258,-0.0409124885033219
"UB","G",TRUE,10,TRUE,0.416263938800814,0.412949177145744
"UB","UBG",FALSE,10,TRUE,0.416263938800814,0.412949177145744
"UB","UB",FALSE,8,TRUE,0.416263938800814,0.412949177145744
"UB","BG",FALSE,11,TRUE,0.416263938800814,0.412949177145744
"UB","UB",FALSE,10,TRUE,0.416263938800814,0.412949177145744
"UB","RG",TRUE,7,TRUE,0.416263938800814,0.412949177145744
"UB","WB",TRUE,8,FALSE,0.416263938800814,0.412949177145744
"UB","UR",FALSE,8,TRUE,0.416263938800814,0.412949177145744
"WG","BR",TRUE,11,TRUE,0.430910157813872,-0.0395627225504506
"WG","WR",FALSE,12,FALSE,0.430910157813872,-0.0395627225504506
"WG","WR",FALSE,10,TRUE,0.430910157813872,-0.0395627225504506
"WG","WU",FALSE,17,TRUE,0.430910157813872,-0.0395627225504506
"WG","WB",FALSE,5,FALSE,0.430910157813872,-0.0395627225504506
"WG","UB",TRUE,7,TRUE,0.430910157813872,-0.0395627225504506
